Student ID,Year,Subject,Course,Semester,Consent,CAT Score
5198819,2013,PHYS,104,1,2,
10090809,2013,PHYS,104,1,2,
10100100,2013,PHYS,104,1,2,
10109156,2013,PHYS,104,1,2,
10107853,2013,PHYS,104,1,2,
10094102,2013,PHYS,104,1,2,
10105975,2013,PHYS,104,1,2,
10092971,2013,PHYS,104,1,2,
10092073,2013,PHYS,104,1,2,
10111356,2013,PHYS,104,1,2,
10100310,2013,PHYS,104,1,2,
10012313,2013,PHYS,104,1,2,
10086183,2013,PHYS,104,1,2,
10105780,2013,PHYS,104,1,2,
10091411,2013,PHYS,104,1,2,
10086508,2013,PHYS,104,1,2,
10098638,2013,PHYS,104,1,2,
10089295,2013,PHYS,104,1,2,
10066200,2013,PHYS,104,1,2,
10086029,2013,PHYS,104,1,2,20
10093303,2013,PHYS,104,1,2,
10095690,2013,PHYS,104,1,2,
10103548,2013,PHYS,104,1,2,
10105920,2013,PHYS,104,1,2,
10113263,2013,PHYS,104,1,2,
10086035,2013,PHYS,104,1,2,
10089987,2013,PHYS,104,1,2,
10093312,2013,PHYS,104,1,2,
10096987,2013,PHYS,104,1,2,
10087035,2013,PHYS,104,1,2,
10091441,2013,PHYS,104,1,2,
10111338,2013,PHYS,104,1,2,
10111114,2013,PHYS,104,1,2,
10104115,2013,PHYS,104,1,2,
10091051,2013,PHYS,104,1,2,
10084539,2013,PHYS,104,1,2,
10064672,2013,PHYS,104,1,2,
10075743,2013,PHYS,104,1,2,
10105688,2013,PHYS,104,1,2,
10055256,2013,PHYS,104,1,2,
10086392,2013,PHYS,104,1,2,33
10090361,2013,PHYS,104,1,2,
10091461,2013,PHYS,104,1,2,22
10101972,2013,PHYS,104,1,2,
10090547,2013,PHYS,104,1,2,
10092947,2013,PHYS,104,1,2,17
10093014,2013,PHYS,104,1,2,
10096513,2013,PHYS,104,1,2,21
10092634,2013,PHYS,104,1,2,
10090373,2013,PHYS,104,1,2,
10091404,2013,PHYS,104,1,2,21
10091283,2013,PHYS,104,1,2,
10095487,2013,PHYS,104,1,2,
10101004,2013,PHYS,104,1,2,
10092675,2013,PHYS,104,1,2,
6033887,2013,PHYS,104,1,2,
10112519,2013,PHYS,104,1,2,
10085914,2013,PHYS,104,1,2,
10103019,2013,PHYS,104,1,2,
10092648,2013,PHYS,104,1,2,
10103625,2013,PHYS,104,1,2,
10063961,2013,PHYS,104,1,2,
10059828,2013,PHYS,104,1,2,
10049306,2013,PHYS,104,1,2,
10110552,2013,PHYS,104,1,2,
10091388,2013,PHYS,104,1,2,
10107249,2013,PHYS,104,1,2,
10045202,2013,PHYS,104,1,2,
10091500,2013,PHYS,104,1,2,
10090029,2013,PHYS,104,1,2,
10093398,2013,PHYS,104,1,2,
10097290,2013,PHYS,104,1,2,
10086383,2013,PHYS,104,1,2,
10114820,2013,PHYS,104,1,2,8
10122493,2013,PHYS,104,1,2,
10096978,2013,PHYS,104,1,2,
10090106,2013,PHYS,104,1,2,28
10103153,2013,PHYS,104,1,3,
10091102,2013,PHYS,104,1,3,
10092075,2013,PHYS,104,1,3,
10104963,2013,PHYS,104,1,3,
10111276,2013,PHYS,104,1,3,
10092417,2013,PHYS,104,1,3,
10093689,2013,PHYS,104,1,3,
10025387,2013,PHYS,104,1,3,
10090525,2013,PHYS,104,1,3,
10087058,2013,PHYS,104,1,3,
10104137,2013,PHYS,104,1,3,21
10092098,2013,PHYS,104,1,3,
10085780,2013,PHYS,104,1,3,
10111340,2013,PHYS,104,1,3,
10023377,2013,PHYS,104,1,3,
10085081,2013,PHYS,104,1,3,
10087048,2013,PHYS,104,1,3,
10061306,2013,PHYS,104,1,3,
10103359,2013,PHYS,104,1,3,
10086344,2013,PHYS,104,1,3,
10085370,2013,PHYS,104,1,3,29
10113025,2013,PHYS,104,1,3,
10093471,2013,PHYS,104,1,3,
10092065,2013,PHYS,104,1,3,
10052661,2013,PHYS,104,1,3,
10097685,2013,PHYS,104,1,3,
10098197,2013,PHYS,104,1,3,
10092499,2013,PHYS,104,1,3,
10098587,2013,PHYS,104,1,3,
10091454,2013,PHYS,104,1,3,
10086086,2013,PHYS,104,1,3,
10083667,2013,PHYS,104,1,3,
10083963,2013,PHYS,104,1,3,
10094541,2013,PHYS,104,1,3,
10091650,2013,PHYS,104,1,3,
10092980,2013,PHYS,104,1,3,29
10083789,2013,PHYS,104,1,3,
10089734,2013,PHYS,104,1,3,
10098200,2013,PHYS,104,1,3,27
10095979,2013,PHYS,104,1,3,
10084801,2013,PHYS,104,1,3,
10093010,2013,PHYS,104,1,3,
10098522,2013,PHYS,104,1,3,
10098132,2013,PHYS,104,1,3,
10086677,2013,PHYS,104,1,3,
10048230,2013,PHYS,104,1,3,17
10091696,2013,PHYS,104,1,3,
10089254,2013,PHYS,104,1,3,21
10110183,2013,PHYS,104,1,3,
10094517,2013,PHYS,104,1,3,
10111153,2013,PHYS,104,1,3,
10093470,2013,PHYS,104,1,3,
10059456,2013,PHYS,104,1,3,
10005728,2013,PHYS,104,1,3,
10086014,2013,PHYS,104,1,3,
10091271,2013,PHYS,104,1,3,
10028200,2013,PHYS,104,1,3,
10092366,2013,PHYS,104,1,3,
10056804,2013,PHYS,104,1,3,
10086869,2013,PHYS,104,1,3,
10085513,2013,PHYS,104,1,3,
10086132,2013,PHYS,104,1,3,
10107539,2013,PHYS,104,1,3,
10101423,2013,PHYS,104,1,3,
10093849,2013,PHYS,104,1,3,14
10096338,2013,PHYS,104,1,3,
10083732,2013,PHYS,104,1,3,
10091358,2013,PHYS,104,1,3,
10090841,2013,PHYS,104,1,3,
10093120,2013,PHYS,104,1,3,
10075311,2013,PHYS,104,1,3,
10093025,2013,PHYS,104,1,3,
10122065,2013,PHYS,104,1,3,
